#OTU ID	BD0017v13	BD0027v13	BD0022v13	BD0040v13	BD0044v13	BD0057v13	BD0115v13	BD0190v13	BD0072v13	BD0112v13	BD0246v13	BD0247v13	BD0266v13	BD0235v13	BD0295v13	BD0255v13	BD0300v13	BD0331v13	BD0321v13	BD0351v13	BD0409v13	BD0410v13	BD0375v13	BD0414v13	BD0422v13	BD0464v13	BD0571v13	BD0578v13	BD0587v13	BD0592v13	BD0594v13	BD0610v13	BD0611v13	BD0613v13	BD0636v13	BD0616v13	BD0653v13	BD0643v13	BD0654v13	BD0673v13	BD0735v13	BD0760v13	BD0777v13	BD0758v13	BD0789v13	BD0791v13	BD0821v13	BD0786v13	BD0790v13	BD0913v13	BD0954v13	BD0981v13
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__._.f__._.g__	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__._.g__	0	171	0	13	3	34	15	6	0	4	136	1	2	0	55	7	0	0	0	3	20	0	6	24	0	0	0	0	0	2	4	268	123	26	0	1	38	0	15	15	0	5	0	1	2	85	0	1	0	0	14	11
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiaceae_1._.g__Clostridium_sensu_stricto	0	0	0	0	1	0	1	2	0	7	10	2	0	19	0	4	67	3	2	11	0	1	3	0	0	15	0	0	0	0	0	9	3	0	3	0	0	0	0	0	2	0	0	1	3	2	2	3	1	1	1	7
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XIII._.g__Mogibacterium	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Eubacteriaceae._.g__Eubacterium	28	3	0	2	6	12	24	1	1	2	0	0	5	0	11	18	2	0	0	0	1	3	5	9	0	0	0	0	8	6	7	17	9	14	23	1	13	8	1	2	4	0	0	3	1	11	1	3	0	0	1	58
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Eubacteriaceae._.g__Pseudoramibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__	140	42	42	154	81	123	35	148	19	77	67	49	74	98	60	132	46	34	85	55	72	82	53	183	97	65	59	73	27	12	53	72	31	176	64	87	65	88	70	162	55	50	144	30	144	67	71	87	57	58	146	39
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Blautia	42	43	22	24	46	18	14	10	30	2	16	34	18	14	15	11	18	32	44	19	24	30	9	10	17	91	30	23	221	13	17	20	18	56	5	11	36	23	19	38	17	35	18	64	18	63	73	16	43	12	14	64
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVa	105	90	138	136	35	253	111	43	136	25	110	27	109	41	271	87	26	248	55	153	174	28	39	360	61	109	26	43	91	31	68	59	37	98	48	58	89	60	52	67	49	58	104	55	115	58	40	349	104	216	363	157
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVb	7	10	1	11	0	4	0	2	13	1	0	5	6	0	2	3	1	0	0	0	16	1	5	3	10	20	0	0	8	3	0	0	0	0	16	16	14	7	1	4	7	2	10	6	0	2	6	1	0	1	2	10
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Coprococcus	4	1	0	1	0	0	0	1	0	2	8	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	2	0	1	1	0	0	3	2	0	3	0	3	25	0
