#OTU ID	BD0017v13	BD0027v13	BD0022v13	BD0040v13	BD0044v13	BD0057v13	BD0115v13	BD0190v13	BD0072v13	BD0112v13	BD0246v13	BD0247v13	BD0266v13	BD0235v13	BD0295v13	BD0255v13	BD0300v13	BD0331v13	BD0321v13	BD0351v13	BD0409v13	BD0410v13	BD0375v13	BD0414v13	BD0422v13	BD0464v13	BD0571v13	BD0578v13	BD0587v13	BD0592v13	BD0594v13	BD0610v13	BD0611v13	BD0613v13	BD0636v13	BD0616v13	BD0653v13	BD0643v13	BD0654v13	BD0673v13	BD0735v13	BD0760v13	BD0777v13	BD0758v13	BD0789v13	BD0791v13	BD0821v13	BD0786v13	BD0790v13	BD0913v13	BD0954v13	BD0981v13
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__._.f__._.g__	0	0	0	1	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__._.g__	1	614	0	47	16	201	73	18	0	18	249	1	7	2	149	22	7	0	0	8	20	1	8	78	0	0	0	0	0	5	15	447	273	57	0	2	312	0	33	41	0	23	0	1	3	105	1	1	0	0	14	11
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiaceae_1._.g__Clostridium_sensu_stricto	0	0	0	5	1	0	11	6	0	19	16	3	0	47	0	12	372	5	2	31	0	1	3	0	0	36	0	0	0	0	0	17	6	0	21	0	19	0	1	0	5	0	0	2	3	2	5	3	1	6	1	7
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Clostridiales_Incertae_Sedis_XIII._.g__Mogibacterium	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	3	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Eubacteriaceae._.g__Eubacterium	81	8	0	5	16	38	78	1	6	6	0	1	25	1	36	56	6	0	0	0	1	3	13	37	0	0	0	0	17	19	28	26	16	25	44	3	65	14	2	9	8	2	1	8	1	15	2	3	0	0	1	60
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Eubacteriaceae._.g__Pseudoramibacter	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__	510	174	148	636	241	483	131	427	87	322	130	122	269	216	168	394	338	108	213	271	72	90	124	544	311	188	59	262	72	43	241	113	61	344	156	182	466	188	185	384	115	107	283	83	156	96	133	92	65	138	146	39
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Blautia	155	156	110	99	135	90	44	31	99	8	35	78	50	32	42	32	105	103	129	86	24	30	20	42	60	247	30	95	558	46	76	33	41	126	19	22	281	48	50	106	40	80	31	124	19	83	132	18	52	33	15	64
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVa	393	323	539	493	98	1003	426	117	462	87	213	51	402	76	666	232	192	841	131	646	174	33	83	1022	177	311	26	150	231	74	312	93	78	224	110	111	675	128	119	151	120	148	210	112	127	85	87	403	123	517	375	157
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Clostridium_XlVb	48	33	1	54	0	12	0	6	26	2	0	15	18	0	4	5	7	0	0	0	16	1	9	18	32	62	0	4	18	10	8	0	0	0	33	27	44	18	2	13	16	8	14	11	1	5	18	2	0	1	2	10
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Coprococcus	12	1	0	5	0	2	1	2	0	5	12	1	1	1	2	1	1	0	0	7	1	0	0	0	4	1	0	3	2	1	6	1	1	0	0	1	13	0	2	0	3	2	0	0	3	2	0	4	0	12	25	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Dorea	155	134	93	100	142	37	3	25	383	26	17	2	14	33	46	51	44	10	11	66	52	16	29	64	31	44	0	78	2	17	82	5	35	0	111	98	113	0	27	12	30	79	74	20	3	56	45	13	16	20	17	38
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Howardella	0	0	2	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	5	1	0	6	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnobacterium	0	0	0	16	4	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospira	9	7	0	8	0	29	0	50	0	5	0	36	13	20	10	13	9	0	12	2	2	7	0	0	39	0	0	5	0	2	1	7	68	0	0	9	15	0	13	2	3	1	0	0	20	3	0	5	4	6	28	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Lachnospiracea_incertae_sedis	91	21	19	26	88	406	43	25	59	49	89	64	350	43	240	65	130	28	901	106	61	66	61	96	71	15	3	87	116	120	64	63	62	174	36	118	375	24	65	122	100	71	38	48	72	25	128	60	45	69	80	50
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Parasporobacterium	0	0	1	1	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	50	6	0	15	12	0	1	3	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Pseudobutyrivibrio	2209	0	49	406	220	723	225	298	83	658	32	632	320	43	33	353	319	2	456	1240	85	17	220	177	922	69	0	741	31	364	574	118	42	0	68	39	784	155	717	480	550	514	398	104	50	49	14	130	243	365	55	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Roseburia	182	150	71	189	31	125	26	131	161	233	26	79	503	223	77	276	195	33	224	365	5	38	93	44	189	15	0	12	87	68	49	17	45	19	16	92	436	7	228	56	48	110	79	12	98	10	122	40	126	120	53	40
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Lachnospiraceae._.g__Ruminococcus2	88	9	59	28	137	15	2	91	24	26	21	5	21	2	8	5	1	15	5	1	2	0	19	17	22	146	0	5	1	19	15	0	3	1	1	38	92	10	11	99	7	79	2	1	2	11	33	11	1	50	1	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptococcaceae_1._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptostreptococcaceae._.g__	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Peptostreptococcaceae._.g__Clostridium_XI	3	0	237	24	2	0	5	15	13	8	2	1	1	20	0	14	33	0	389	3	0	0	2	0	0	0	100	2	6	0	0	13	21	0	0	0	14	1	10	0	16	1	0	2	0	1	1	9	11	2	1	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__	193	117	79	273	534	298	624	246	18	60	145	244	80	989	297	116	454	1	23	44	395	82	24	421	83	102	11	44	118	174	461	154	476	120	742	84	1078	63	185	259	134	37	27	43	114	375	879	25	29	24	75	144
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Acetanaerobacterium	0	0	0	0	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	4	4	0	0	1	1	0	37	1	0	2	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Anaerofilum	0	0	0	2	0	1	21	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Anaerotruncus	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	2	0	0	6	1	0	0	0	0	5	2	1	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Butyricicoccus	7	7	4	13	7	1	6	4	1	23	3	1	2	10	2	1	3	10	4	0	2	2	2	1	3	0	20	3	0	4	24	0	4	0	0	1	13	0	2	2	2	26	6	0	1	3	6	1	3	2	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Clostridium_IV	0	27	0	1	23	9	7	3	0	0	40	0	1	3	21	32	1	0	0	13	3	7	9	5	0	17	0	14	7	0	5	1	2	15	0	0	53	5	3	1	1	0	0	2	0	0	8	0	0	0	0	10
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Faecalibacterium	394	794	19	1571	314	721	368	461	3	1304	263	452	919	434	574	635	727	54	938	246	178	441	739	393	796	34	577	80	69	299	444	207	354	581	58	319	2196	4	549	377	174	376	193	413	499	125	393	232	277	421	151	37
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Fastidiosipila	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Flavonifractor	97	27	7	106	274	151	138	32	1	5	44	98	26	66	99	38	159	0	20	64	124	24	7	340	11	0	43	29	9	33	215	68	141	16	252	20	225	61	54	36	48	8	14	61	59	131	176	9	3	8	29	216
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Gemmiger	149	104	4	93	39	40	102	21	0	28	30	54	52	89	48	63	80	0	46	48	10	35	12	35	10	11	1	25	1	58	32	82	32	0	18	15	288	4	213	32	35	15	22	22	19	7	67	31	10	9	5	2
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Hydrogenoanaerobacterium	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Oscillibacter	38	56	3	32	47	58	43	39	2	23	15	12	24	6	40	30	109	0	27	52	35	26	19	31	71	7	0	84	29	70	159	32	25	74	38	22	52	18	18	25	34	13	10	54	26	30	7	21	8	5	16	46
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Pseudoflavonifractor	0	0	0	0	1	1	16	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	4	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	46
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Ruminococcus	41	81	0	38	76	200	21	2	1	64	256	71	8	505	24	7	49	0	46	177	18	0	35	30	13	0	0	46	19	10	35	114	14	35	270	0	209	28	47	62	14	0	0	8	3	0	18	13	6	28	21	135
k__Bacteria._.p__Firmicutes._.c__Clostridia._.o__Clostridiales._.f__Ruminococcaceae._.g__Saccharofermentans	0	0	0	0	0	108	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Erysipelotrichia._.o__Erysipelotrichales._.f__Erysipelotrichaceae._.g__	0	0	0	0	21	18	0	18	0	0	0	0	0	2	23	7	0	0	52	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	22	0	0	0	0	0	0	0	0	0	0	0	0
